Timestamp	Ah	Voltage (V)	Current (A)	Power (Watt)	Speed (m/s)	Distance (m)	Degree (°)	RPM (Rounds/Minute)	ThO	ThI	AuxA	AuxD	Flgs
22:25:11	2.09	19.79	0.96	19.0	52.62	862.81	27.74	2073.16	0.47	0.08	0.26	0.59	232
22:25:12	3.2	16.93	6.49	109.88	95.86	290.31	29.19	4915.36	0.91	0.87	0.9	0.45	181
22:25:13	4.57	14.46	7.14	103.24	0.23	537.29	29.87	1287.75	0.5	0.72	0.62	0.78	249
22:25:14	2.59	19.69	6.48	127.59	69.78	252.26	25.76	145.57	0.91	0.53	0.31	0.92	44
22:25:15	2.83	14.97	8.88	132.93	97.47	203.08	28.85	135.16	0.57	0.9	0.6	0.23	59
22:25:16	3.75	17.25	5.95	102.64	65.52	926.52	27.76	3141.03	0.2	0.78	0.24	0.47	136
22:25:17	4.99	17.8	8.16	145.25	82.53	779.23	26.62	3317.54	0.69	0.95	0.05	0.1	25
22:25:18	4.79	12.89	7.97	102.73	2.54	231.88	31.87	4685.46	0.21	0.94	0.32	0.16	58
22:25:19	4.88	10.67	8.63	92.08	78.83	800.27	27.93	2031.03	0.79	0.67	0.53	0.79	137
22:25:20	4.32	17.48	4.47	78.14	27.71	224.1	25.53	882.17	0.9	0.92	0.62	0.73	44
22:25:21	2.8	14.8	8.13	120.32	53.42	452.72	27.06	4994.36	0.82	0.03	0.81	0.8	144
22:25:22	4.84	17.87	8.76	156.54	13.02	301.57	25.88	196.29	0.78	0.42	0.66	0.32	76
22:25:23	4.05	13.92	7.25	100.92	66.58	752.55	31.18	3211.02	0.09	0.35	0.47	0.76	26
22:25:24	1.08	11.83	6.55	77.49	77.98	482.58	28.83	3246.72	0.5	0.41	0.85	0.88	61
22:25:25	4.22	15.58	2.84	44.25	61.24	653.73	29.15	4623.4	0.03	0.7	0.2	0.5	48
22:25:26	3.37	19.36	8.68	168.04	98.39	652.96	28.7	1216.19	0.61	0.52	0.14	0.45	177
