Timestamp	Ah	Voltage (V)	Current (A)	Power (Watt)	Speed (m/s)	Distance (m)	Degree (°)	RPM (Rounds/Minute)	ThO	ThI	AuxA	AuxD	Flgs
23:59:27	2.91	17.27	2.95	50.95	73.7	783.64	28.92	4316.35	0.94	0.82	0.61	0.68	229
23:59:28	0.65	17.32	6.91	119.68	57.26	137.97	25.77	4202.95	0.68	0.96	0.88	0.82	164
23:59:29	2.2	11.64	6.85	79.73	42.19	546.0	26.85	4352.91	0.86	0.56	0.34	0.15	108
23:59:30	0.94	12.9	5.17	66.69	48.61	248.65	26.22	412.95	0.17	0.28	0.56	0.97	39
23:59:31	3.24	12.6	6.93	87.32	50.64	408.76	27.88	470.03	0.72	0.42	0.58	0.16	177
23:59:32	4.37	10.69	7.08	75.69	42.77	116.81	31.6	1137.65	0.57	0.02	0.54	0.69	195
23:59:33	3.9	19.6	6.64	130.14	44.16	491.16	27.79	4696.35	0.43	0.67	0.44	0.44	109
23:59:34	3.02	12.78	3.74	47.8	81.26	998.94	25.89	3879.67	0.91	0.17	0.97	0.92	12
23:59:35	2.8	10.88	9.68	105.32	23.13	854.41	26.49	892.56	0.1	0.58	0.83	0.26	180
23:59:36	3.8	11.08	2.02	22.38	30.7	724.89	29.78	3725.66	0.03	0.35	0.9	0.86	120
23:59:37	0.35	10.5	9.29	97.54	52.54	598.4	30.85	3178.99	0.09	0.99	0.19	0.64	103
23:59:38	0.41	19.0	4.98	94.62	57.61	650.42	29.87	79.12	0.2	0.05	0.66	0.38	244
23:59:39	4.65	18.32	9.06	165.98	76.08	258.52	30.16	4503.7	0.93	0.24	0.88	0.94	213
23:59:40	2.26	14.82	5.35	79.29	82.48	984.19	26.11	2487.74	0.75	0.16	0.26	0.74	28
23:59:41	1.96	13.31	1.85	24.62	13.36	391.3	31.05	207.67	0.06	0.34	0.43	0.42	124
23:59:42	0.29	11.63	9.39	109.21	92.55	623.9	25.75	503.14	0.68	0.94	0.75	0.16	28
23:59:43	0.77	14.23	2.9	41.27	14.21	229.43	28.39	2612.25	0.54	0.07	0.17	0.64	132
23:59:44	1.82	17.44	8.9	155.22	19.87	919.51	29.03	3852.32	0.57	0.95	0.02	0.85	200
23:59:45	2.47	19.21	6.82	131.01	87.74	879.28	27.44	4162.74	0.52	0.56	0.53	0.76	214
23:59:46	3.41	18.16	7.85	142.56	2.99	646.3	30.96	4703.32	0.22	0.48	0.65	0.43	13
23:59:47	0.11	13.03	4.0	52.12	47.82	277.45	26.3	3233.37	0.8	0.37	0.2	0.39	38
