Timestamp	Ah	Voltage (V)	Current (A)	Power (Watt)	Speed (m/s)	Distance (m)	Degree (°)	RPM (Rounds/Minute)	ThO	ThI	AuxA	AuxD	Flgs
11:53:02	2.35	13.68	3.69	50.48	39.81	194.56	26.17	4576.86	0.73	0.03	0.2	0.81	247
11:53:03	1.06	19.24	5.74	110.44	52.93	628.99	29.95	2477.4	0.82	0.73	0.9	0.65	215
11:53:03	2.46	15.06	9.34	140.66	97.65	53.39	29.04	62.42	0.36	0.11	0.98	0.13	73
11:53:04	3.76	10.27	5.73	58.85	35.23	744.44	29.52	3345.73	0.18	0.75	0.51	0.15	66
11:53:04	2.54	18.48	9.27	171.31	31.87	734.52	31.75	3127.32	0.93	0.87	0.81	0.42	250
11:53:05	1.43	11.55	5.22	60.29	90.97	658.93	30.64	4110.04	0.46	0.33	0.01	0.67	70
11:53:05	3.41	10.45	9.22	96.35	15.77	504.04	28.54	3305.66	0.9	0.3	0.58	0.93	159
11:53:06	2.88	12.6	5.12	64.51	18.03	277.55	27.89	2755.24	0.79	0.58	0.92	0.82	202
11:53:06	4.55	19.28	3.96	76.35	30.41	51.49	25.96	954.7	0.88	0.18	0.02	0.32	69
11:53:07	0.88	12.56	5.8	72.85	58.74	969.63	27.98	1112.7	0.8	0.9	0.03	0.59	13
11:53:08	2.79	19.13	1.45	27.74	16.19	500.05	31.85	1362.44	0.27	0.92	0.65	0.1	77
11:53:09	1.49	16.15	8.53	137.76	73.14	309.29	29.78	3058.5	0.3	0.31	0.42	0.36	143
11:53:10	4.15	16.14	5.69	91.84	0.76	736.11	31.04	4268.05	0.41	0.64	0.31	0.22	118
11:53:11	1.16	15.22	3.4	51.75	84.44	764.61	31.77	2840.54	0.07	0.45	0.22	0.08	205
11:53:12	3.79	16.31	6.6	107.65	15.43	250.48	25.31	3335.6	0.08	0.68	0.71	0.79	194
11:53:13	4.05	18.85	5.48	103.3	11.46	517.1	29.4	1833.64	0.82	0.79	0.65	0.44	107
11:53:14	0.33	14.93	5.42	80.92	38.98	658.66	29.34	4688.28	0.86	0.06	0.78	0.72	17
11:53:15	4.22	10.67	9.27	98.91	68.13	273.44	29.78	455.57	0.06	0.34	0.18	0.57	138
11:53:16	1.11	13.54	8.87	120.1	89.19	755.83	27.67	4992.7	0.18	0.5	0.02	0.94	41
11:53:17	0.46	16.94	6.07	102.83	21.17	174.41	29.94	2780.72	0.61	0.11	0.35	0.63	88
11:53:18	4.19	15.58	5.17	80.55	13.82	567.65	30.25	820.19	0.42	0.49	0.1	0.49	92
11:53:19	4.57	17.06	4.73	80.69	80.23	538.58	27.97	2340.52	0.37	0.48	0.68	0.14	17
11:53:20	1.96	10.84	2.19	23.74	75.42	313.09	25.92	4882.65	0.28	0.63	0.3	0.98	12
11:53:21	1.06	18.59	3.43	63.76	69.8	588.46	25.78	3980.54	0.26	0.07	0.61	0.25	138
11:53:22	3.51	10.76	2.99	32.17	20.41	616.21	31.08	3181.43	0.71	0.2	0.88	0.82	249
11:53:23	0.42	13.72	1.82	24.97	77.07	594.36	27.47	1202.98	0.36	0.97	0.7	0.88	68
11:53:24	1.88	19.97	5.43	108.44	70.04	480.03	30.74	2259.24	0.83	0.68	0.35	0.26	83
11:53:25	0.36	15.98	4.09	65.36	2.95	167.48	29.42	1108.28	0.05	0.7	0.92	0.91	68
11:53:26	2.32	17.25	1.97	33.98	34.07	704.38	30.9	2465.34	0.16	0.16	0.35	0.03	105
11:53:27	2.68	14.98	3.14	47.04	73.64	189.82	28.21	3618.4	0.89	0.36	0.88	0.48	240
11:53:28	1.65	13.71	7.94	108.86	33.02	499.36	30.53	4399.4	0.1	0.86	0.47	0.88	19
11:53:29	4.22	12.32	6.25	77.0	1.7	456.74	30.12	4713.92	0.22	0.78	0.79	0.26	108
11:53:30	1.39	15.76	5.5	86.68	21.69	733.83	29.49	3856.8	0.87	0.7	0.19	0.39	179
11:53:31	3.96	15.36	7.26	111.51	71.16	157.38	29.16	2584.89	0.26	0.98	0.71	0.79	47
11:53:32	0.22	12.55	7.19	90.23	22.06	929.4	28.39	1980.35	0.82	0.9	0.66	0.2	89
11:53:33	3.33	16.19	6.13	99.24	4.65	872.34	28.49	2023.98	0.15	0.52	0.62	0.14	238
11:53:34	2.65	19.79	7.05	139.52	53.53	459.08	27.06	2367.79	0.73	0.62	0.12	0.51	155
11:53:35	4.74	11.26	7.07	79.61	89.29	451.8	30.2	695.93	0.52	0.14	0.92	0.9	97
11:53:36	2.81	14.39	4.85	69.79	31.07	635.82	29.34	607.62	0.68	0.45	0.7	0.3	0
11:53:37	3.21	19.63	2.11	41.42	19.56	567.35	30.98	2432.87	0.97	0.07	0.14	0.86	248
