Timestamp	Ah	Voltage (V)	Current (A)	Power (Watt)	Speed (m/s)	Distance (m)	Degree (°)	RPM (Rounds/Minute)	ThO	ThI	AuxA	AuxD	Flgs
10:32:31	1.35	15.34	6.75	103.55	81.73	765.81	25.46	1831.22	0.26	0.95	1.0	0.78	248
10:32:32	4.57	19.9	2.47	49.15	13.25	868.09	29.31	1281.16	0.1	0.7	0.02	0.71	221
10:32:33	1.94	10.8	3.41	36.83	15.61	105.5	30.91	891.12	0.71	0.06	0.79	0.34	248
10:32:34	1.98	14.98	3.33	49.88	34.95	861.47	25.59	227.75	0.12	0.36	0.22	0.2	182
10:32:35	3.29	11.67	9.59	111.92	97.84	664.03	26.03	3453.77	0.99	0.31	0.23	0.17	115
10:32:36	2.39	12.5	8.95	111.87	25.78	768.56	30.84	418.6	0.34	0.74	0.26	0.49	221
10:32:37	2.0	13.49	9.57	129.1	36.67	192.07	25.66	2696.87	0.89	0.9	0.47	0.8	111
10:32:38	4.44	12.23	9.75	119.24	78.09	594.31	27.82	2695.41	0.41	0.26	0.61	0.66	77
10:32:39	4.35	10.8	3.85	41.58	67.0	481.09	31.69	2463.13	0.15	0.94	0.55	0.76	100
10:32:40	4.26	17.69	4.05	71.64	32.94	295.45	28.12	3976.04	0.0	0.21	0.33	0.32	172
10:32:41	0.11	19.79	5.32	105.28	19.88	187.43	25.76	1971.99	0.67	0.31	0.93	0.75	136
10:32:42	3.23	12.76	7.43	94.81	7.59	899.23	25.6	1752.67	0.68	0.49	0.01	0.49	112
10:32:43	0.32	18.79	1.27	23.86	65.2	501.25	31.17	4833.33	0.04	0.7	0.83	0.27	159
10:32:44	2.4	12.21	4.12	50.31	72.19	25.56	26.11	3459.73	0.58	0.24	0.89	0.65	218
10:32:45	1.77	15.59	3.25	50.67	3.35	281.3	30.8	2628.77	0.34	0.39	0.18	0.44	211
10:32:46	2.94	18.57	9.13	169.54	3.69	428.68	26.99	704.83	0.73	0.56	0.49	0.44	229
10:32:47	4.81	14.3	2.93	41.9	52.15	262.15	29.17	2199.45	0.65	0.13	0.71	0.63	40
10:32:48	1.71	13.84	7.01	97.02	34.96	387.85	30.64	1515.68	0.68	0.35	0.43	0.57	211
10:32:49	0.97	11.16	2.15	23.99	29.49	495.66	26.0	1062.71	0.59	0.16	0.66	0.31	244
10:32:50	2.28	18.16	4.17	75.73	96.81	911.37	30.14	4461.63	0.27	0.71	0.66	0.35	53
